"HTS Number","Indent","Description","Unit of Quantity","General Rate of Duty","Special Rate of Duty","Column 2 Rate of Duty","Quota Quantity","Additional Duties"
"0101","0","Live horses, asses, mules and hinnies:","","","","","",""
"","1","Horses:","","","","",,
"0101.21.00","2","Purebred breeding animals","","Free","","Free","",""
"0101.21.00.10","3","Males","[""No.""]","","","","",""
"0101.21.00.20","3","Females","[""No.""]","","","","",""
"0101.29.00","2","Other","","Free","","20%","",""
"0101.29.00.10","3","Imported for immediate slaughter","[""No.""]","","","","",""
"0101.29.00.90","3","Other","[""No.""]","","","","",""
"0101.30.00.00","1","Asses","[""No.""]","6.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","15%","",""
"0101.90","1","Other:","","","","","",""
"0101.90.30.00","2","Imported for immediate slaughter","[""No.""]","Free","","Free","",""
"0101.90.40.00","2","Other","[""No""]","4.5%","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","20%","",""
"0102","0","Live bovine animals:","","","","","",""
"","1","Cattle:","","","","",,
"0102.21.00","2","Purebred breeding animals","","Free","","Free","",""
"","3","Dairy:","","","","",,
"0102.21.00.10","4","Male","[""No.""]","","","","",""
"0102.21.00.20","4","Female","[""No.""]","","","","",""
"","3","Other:","","","","",,
"0102.21.00.30","4","Male","[""No.""]","","","","",""
"0102.21.00.50","4","Female","[""No.""]","","","","",""
"0102.29","2","Other:","","","","","",""
"0102.29.20","3","Cows imported specially for dairy purposes","","Free","","6.6¢/kg","",""
"0102.29.20.11","4","Weighing less than 90 kg each","[""No."",""kg""]","","","","",""
"0102.29.20.12","4","Weighing 90 kg or more each","[""No."",""kg""]","","","","",""
"0102.29.40","3","Other","","1¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"","4","Weighing less than 90 kg each:","","","","",,
"0102.29.40.24","5","Male","[""No."",""kg""]","","","","",""
"0102.29.40.28","5","Female","[""No."",""kg""]","","","","",""
"","4","Weighing 90 kg or more but less than 200 kg each:","","","","",,
"0102.29.40.34","5","Male","[""No."",""kg""]","","","","",""
"0102.29.40.38","5","Female","[""No."",""kg""]","","","","",""
"","4","Weighing 200 kg or more but less than 320 kg each:","","","","",,
"0102.29.40.54","5","Male","[""No."",""kg""]","","","","",""
"0102.29.40.58","5","Female","[""No."",""kg""]","","","","",""
"","4","Weighing 320 kg or more each:","","","","",,
"","5","For immediate slaughter:","","","","",,
"0102.29.40.62","6","Steers","[""No."",""kg""]","","","","",""
"0102.29.40.64","6","Bulls","[""No."",""kg""]","","","","",""
"0102.29.40.66","6","Cows","[""No."",""kg""]","","","","",""
"0102.29.40.68","6","Heifers","[""No."",""kg""]","","","","",""
"","5","For breeding:","","","","",,
"0102.29.40.72","6","Male","[""No."",""kg""]","","","","",""
"0102.29.40.74","6","Female","[""No."",""kg""]","","","","",""
"","5","Other:","","","","",,
"0102.29.40.82","6","Male","[""No."",""kg""]","","","","",""
"0102.29.40.84","6","Female","[""No."",""kg""]","","","","",""
"","1","Buffalo:","","","","",,
"0102.31.00","2","Purebred breeding animals","","Free","","Free","",""
"0102.31.00.10","3","Male","[""No.""]","","","","",""
"0102.31.00.20","3","Female","[""No.""]","","","","",""
"0102.39.00","2","Other","","1¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0102.39.00.10","3","Bison","[""No."",""kg""]","","","","",""
"","3","Other:","","","","",,
"","4","Weighing less than 90 kg each:","","","","",,
"0102.39.00.24","5","Male","[""No."",""kg""]","","","","",""
"0102.39.00.28","5","Female","[""No."",""kg""]","","","","",""
"","4","Weighing 90 kg or more but less than 200 kg each:","","","","",,
"0102.39.00.34","5","Male","[""No."",""kg""]","","","","",""
"0102.39.00.38","5","Female","[""No."",""kg""]","","","","",""
"","4","Weighing 200 kg or more but less than 320 kg each:","","","","",,
"0102.39.00.54","5","Male","[""No."",""kg""]","","","","",""
"0102.39.00.58","5","Female","[""No."",""kg""]","","","","",""
"","4","Weighing 320 kg or more each:","","","","",,
"0102.39.00.61","5","For immediate slaughter","[""No."",""kg""]","","","","",""
"","5","For breeding:","","","","",,
"0102.39.00.72","6","Male","[""No."",""kg""]","","","","",""
"0102.39.00.74","6","Female","[""No."",""kg""]","","","","",""
"","5","Other:","","","","",,
"0102.39.00.82","6","Male","[""No."",""kg""]","","","","",""
"0102.39.00.84","6","Female","[""No."",""kg""]","","","","",""
"0102.90.00.00","1","Other","[""No."",""kg""]","1¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","5.5¢/kg","",""
"0103","0","Live swine:","","","","","",""
"0103.10.00.00","1","Purebred breeding animals","[""No.""]","Free","","Free","",""
"","1","Other:","","","","",,
"0103.91.00","2","Weighing less than 50 kg each","","Free","","4.4¢/kg","",""
"0103.91.00.10","3","Weighing less than 7 kg each","[""No."",""kg""]","","","","",""
"0103.91.00.20","3","Weighing 7 kg or more but less than 23 kg each","[""No."",""kg""]","","","","",""
"0103.91.00.30","3","Weighing 23 kg or more but less than 50 kg each","[""No."",""kg""]","","","","",""
"0103.92.00","2","Weighing 50 kg or more each","","Free","","4.4¢/kg","",""
"0103.92.00.10","3","Imported for immediate slaughter","[""No."",""kg""]","","","","",""
"0103.92.00.20","3","Breeding animals other than purebred breeding animals","[""No."",""kg""]","","","","",""
"0103.92.00.91","3","Other","[""No."",""kg""]","","","","",""
"0104","0","Live sheep and goats:","","","","","",""
"0104.10.00.00","1","Sheep","[""No."",""kg""]","Free","","$3/head","",""
"0104.20.00.00","1","Goats","[""No.""]","68¢/head","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","$3/head","",""
"0105","0","Live poultry of the following kinds: Chickens, ducks, geese, turkeys and guineas:","","","","","",""
"","1","Weighing not more than 185 g:","","","","",,
"0105.11.00","2","Chickens","","0.9¢ each","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR, MA,OM, P,PA,PE,S,SG)","4¢ each","",""
"","3","Breeding stock, whether or not purebred:","","","","",,
"0105.11.00.10","4","Layer-type (egg-type)","[""No.""]","","","","",""
"0105.11.00.20","4","Broiler-type (meat-type)","[""No.""]","","","","",""
"0105.11.00.40","3","Other","[""No.""]","","","","",""
"0105.12.00.00","2","Turkeys","[""No.""]","0.9¢ each","Free (A+,AU,BH, CL,CO,D,E, IL,JO,KR,MA,OM,P,PA, PE,S,SG)","4¢ each","",""
"0105.13.00.00","2","Ducks","[""No.""]","0.9¢ each","Free (A+,AU,BH,CL,CO,D,E, IL,JO,KR,MA,OM,P,PA,PE,S, SG)","4¢ each","",""
"0105.14.00.00","2","Geese","[""No.""]","0.9¢ each","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","4¢ each","",""
"0105.15.00.00","2","Guinea fowls","[""No.""]","0.9¢ each","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","4¢ each","",""
"","1","Other:","","","","",,
"0105.94.00.00","2","Chickens","[""No."",""kg""]","2¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","17.6¢/kg","",""
"0105.99.00.00","2","Other","[""No."",""kg""]","2¢/kg","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","17.6¢/kg","",""
"0106","0","Other live animals:","","","","","",""
"","1","Mammals:","","","","",,
"0106.11.00.00","2","Primates","[""No.""]","Free","","15%","",""
"0106.12.01.00","2","Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)","[""No.""]","Free","","15%","",""
"0106.13.00.00","2","Camels and other camelids (Camelidae)","[""No.""]","Free","","15%","",""
"0106.14.00.00","2","Rabbits and hares","[""No.""]","Free","","15%","",""
"0106.19","2","Other:","","","","","",""
"0106.19.30.00","3","Foxes","[""No.""]","4.8%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA, OM,P,PA,PE,S,SG)","15%","",""
"0106.19.91","3","Other","","Free","","15%","",""
"0106.19.91.20","4","Dogs","[""No.""]","","","","",""
"0106.19.91.95","4","Other","[""No.""]","","","","",""
"0106.20.00.00","1","Reptiles (including snakes and turtles)","[""No.""]","Free","","15%","",""
"","1","Birds:","","","","",,
